DatasetID;DatasetAccessionID;SampleAccessionID;CellType;DetailedCellType;Condition;SenescentType;Treatment;timepoints;Immortalised
Laurent;GSE247831;SRR26840995;Fibroblast;BJ-5ta;Quiescent;none;Leo1 KO;none;yes
Laurent;GSE247832;SRR26840996;Fibroblast;BJ;Quiescent;none;Leo1 KO;none;yes
Laurent;GSE247833;SRR26840997;Fibroblast;BJ;Quiescent;none;Leo1 KO;none;yes
Laurent;GSE247834;SRR26840998;Fibroblast;BJ;Proliferative;none;WT;none;yes
Laurent;GSE247835;SRR26840999;Fibroblast;BJ;Proliferative;none;WT;none;yes
Laurent;GSE247836;SRR26841000;Fibroblast;BJ;Proliferative;none;WT;none;yes
Laurent;GSE247837;SRR26841001;Fibroblast;BJ;Quiescent;none;Leo1 KO;none;yes
Laurent;GSE247838;SRR26841002;Fibroblast;BJ;Quiescent;none;Leo1 KO;none;yes
Laurent;GSE247839;SRR26841003;Fibroblast;BJ;Quiescent;none;Leo1 KO;none;yes
Laurent;GSE247840;SRR26841004;Fibroblast;BJ;Proliferative;none;WT;none;yes
Laurent;GSE247841;SRR26841005;Fibroblast;BJ;Proliferative;none;WT;none;yes
Laurent;GSE247842;SRR26841006;Fibroblast;BJ;Proliferative;none;WT;none;yes
Skea;GSE235768;SRR25032574;Fibroblast;HFL1;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032575;Fibroblast;HFL1;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032576;Fibroblast;HFL1;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032577;Fibroblast;HFL1;Senescent;Oxidative stress;hydrogen peroxide;none;no
Skea;GSE235768;SRR25032578;Fibroblast;HFL1;Senescent;Oxidative stress;hydrogen peroxide;none;no
Skea;GSE235768;SRR25032579;Fibroblast;HFL1;Senescent;Oxidative stress;hydrogen peroxide;none;no
Skea;GSE235768;SRR25032580;Fibroblast;HFL1;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032581;Fibroblast;HFL1;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032582;Fibroblast;HFL1;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032583;Fibroblast;HFL1;Senescent;Telomere shortening;bortezomib;none;no
Skea;GSE235768;SRR25032584;Fibroblast;HFL1;Senescent;Telomere shortening;bortezomib;none;no
Skea;GSE235768;SRR25032585;Fibroblast;HFL1;Senescent;Telomere shortening;bortezomib;none;no
Skea;GSE235768;SRR25032586;Fibroblast;BJ;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032587;Fibroblast;BJ;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032588;Fibroblast;BJ;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032589;Fibroblast;BJ;Senescent;Oxidative stress;hydrogen peroxide;none;no
Skea;GSE235768;SRR25032590;Fibroblast;BJ;Senescent;Oxidative stress;hydrogen peroxide;none;no
Skea;GSE235768;SRR25032591;Fibroblast;BJ;Senescent;Oxidative stress;hydrogen peroxide;none;no
Skea;GSE235768;SRR25032592;Fibroblast;BJ;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032593;Fibroblast;BJ;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032594;Fibroblast;BJ;Proliferative;none;Proliferation;none;no
Skea;GSE235768;SRR25032595;Fibroblast;BJ;Senescent;Telomere shortening;bortezomib;none;no
Skea;GSE235768;SRR25032596;Fibroblast;BJ;Senescent;Telomere shortening;bortezomib;none;no
Skea;GSE235768;SRR25032597;Fibroblast;BJ;Senescent;Telomere shortening;bortezomib;none;no
Wang;GSE214410;SRR21743822;Fibroblast;IMR90;Senescent;Oncogene;Hras + vector;none;no
Wang;GSE214410;SRR21743823;Fibroblast;IMR90;Proliferative;none;Proliferation + WSTF OE;none;no
Wang;GSE214410;SRR21743824;Fibroblast;IMR90;Proliferative;none;Proliferation + WSTF OE;none;no
Wang;GSE214410;SRR21743817;Fibroblast;IMR90;Senescent;Oncogene;Hras + WSTF OE;none;no
Wang;GSE214410;SRR21743818;Fibroblast;IMR90;Senescent;Oncogene;Hras + WSTF OE;none;no
Wang;GSE214410;SRR21743819;Fibroblast;IMR90;Senescent;Oncogene;Hras + WSTF OE;none;no
Wang;GSE214410;SRR21743820;Fibroblast;IMR90;Senescent;Oncogene;Hras + vector;none;no
Wang;GSE214410;SRR21743821;Fibroblast;IMR90;Senescent;Oncogene;Hras + vector;none;no
Wang;GSE214410;SRR21743825;Fibroblast;IMR90;Proliferative;none;Proliferation + WSTF OE;none;no
Wang;GSE214410;SRR21743826;Fibroblast;IMR90;Proliferative;none;Proliferation + vector;none;no
Wang;GSE214410;SRR21743827;Fibroblast;IMR90;Proliferative;none;Proliferation + vector;none;no
